,name,population
0,New York City,8175133
1,Los Angeles,3971883
2,Chicago,2720546
3,Brooklyn,2300664
4,Houston,2296224
5,Queens,2272771
6,Philadelphia,1567442
7,Phoenix,1563025
8,Manhattan,1487536
9,San Antonio,1469845
10,San Diego,1394928
11,The Bronx,1385108
12,Dallas,1300092
13,San Jose,1026908
14,Austin,931830
15,Jacksonville,868031
16,San Francisco,864816
17,Columbus,850106
18,Fort Worth,833319
19,Indianapolis,829718
20,Charlotte,827097
21,Seattle,684451
22,Denver,682545
23,El Paso,681124
24,Detroit,677116
25,Boston,667137
26,Memphis,655770
27,New South Memphis,641608
28,Portland,632309
29,Oklahoma City,631346
30,Las Vegas,623747
31,Baltimore,621849
32,Washington,601723
33,Milwaukee,600155
34,South Boston,571281
35,Albuquerque,559121
36,Tucson,531641
37,Nashville,530852
38,Fresno,520052
39,Sacramento,490712
40,Kansas City,475378
41,Long Beach,474140
42,Mesa,471825
43,Staten Island,468730
44,Atlanta,463878
45,Colorado Springs,456568
46,Virginia Beach,452745
47,Raleigh,451066
48,Omaha,443885
49,Miami,441003
50,Oakland,419267
51,Minneapolis,410939
52,Tulsa,403505
53,Wichita,389965
54,New Orleans,389617
55,Arlington,388125
56,Cleveland,388072
57,Bakersfield,373640
58,Honolulu,371657
59,Tampa,369075
60,Aurora,359407
61,Anaheim,350742
62,West Raleigh,338759
63,Santa Ana,335400
64,Corpus Christi,324074
65,Riverside,322424
66,St. Louis,315685
67,Lexington-Fayette,314488
68,Stockton,305658
69,Pittsburgh,304391
70,Anchorage,298695
71,Cincinnati,296943
72,Ironville,288649
73,Meads,288649
74,Henderson,285667
75,Greensboro,285342
76,Saint Paul,285068
77,Plano,283558
78,Newark,281944
79,Toledo,279789
80,Lincoln,277348
81,Orlando,270934
82,Chula Vista,265757
83,Jersey City,264290
84,Chandler,260828
85,Fort Wayne,260326
86,Buffalo,258071
87,Durham,257636
88,St. Petersburg,257083
89,Irvine,256927
90,Laredo,255473
91,Lubbock,249042
92,Madison,248951
93,Gilbert,247542
94,Norfolk,246393
95,Louisville,243639
96,Reno,241445
97,Winston-Salem,241218
98,Glendale,240126
99,Hialeah,237069
100,Garland,236897
101,Scottsdale,236839
102,Irving,236607
103,Chesapeake,235429
104,North Las Vegas,234807
105,Fremont,232206
106,Baton Rouge,228590
107,Lexington,225366
108,Paradise,223167
109,Richmond,220289
110,Jamaica,216866
111,San Bernardino,216108
112,Spokane,213272
113,Birmingham,212461
114,Modesto,211266
115,Des Moines,210330
116,Rochester,209802
117,Maryvale,208189
118,Tacoma,207948
119,Arlington,207627
120,Fontana,207460
121,Oxnard,207254
122,Moreno Valley,204198
123,Fayetteville,201963
124,Huntington Beach,201899
125,Yonkers,201116
126,Glendale,201020
127,Aurora,200661
128,Montgomery,200602
129,Columbus,200579
130,Amarillo,198645
131,Little Rock,197992
132,Akron,197542
133,Shreveport,197204
134,Grand Rapids,195097
135,Mobile,194288
136,Salt Lake City,192672
137,Huntsville,190582
138,Tallahassee,189907
139,Sunrise Manor,189372
140,Grand Prairie,187809
141,Overland Park,186515
142,Knoxville,185291
143,Worcester,184815
144,Brownsville,183887
145,Newport News,182385
146,Santa Clarita,182371
147,Providence,179207
148,Fort Lauderdale,178590
149,East Flatbush,178464
150,Spring Valley,178395
151,Chattanooga,176588
152,Tempe,175826
153,Oceanside,175691
154,Garden Grove,175393
155,Rancho Cucamonga,175236
156,Cape Coral,175229
157,Santa Rosa,174972
158,East New York,173198
159,Vancouver,172860
160,Sioux Falls,171544
161,Peoria,171237
162,Ontario,171214
163,Jackson,170674
164,Hollywood,167664
165,Elk Grove,166913
166,Springfield,166810
167,Pembroke Pines,166611
168,Deer Valley,165656
169,Port Saint Lucie,164603
170,Salem,164549
171,Corona,164226
172,Eugene,163460
173,McKinney,162898
174,Fort Collins,161175
175,Lancaster,161103
176,Cary,159769
177,Tempe Junction,158368
178,Palmdale,158351
179,Hayward,158289
180,Salinas,157380
181,Frisco,154407
182,Springfield,154341
183,East Chattanooga,154024
184,Pasadena,153784
185,Alexandria,153511
186,Pomona,153266
187,Washington Heights,152613
188,Lakewood,152597
189,Sunnyvale,151754
190,Escondido,151451
191,Kansas City,151306
192,Astoria,150165
193,Hollywood,149728
194,Borough Park,149248
195,Clarksville,149176
196,Torrance,148475
197,Valencia,148456
198,Rockford,148278
199,East Hampton,147993
200,Joliet,147861
201,Paterson,147754
202,Bridgeport,147629
203,Naperville,147100
204,Boise,145987
205,Savannah,145674
206,Mesquite,144788
207,Syracuse,144142
208,Metairie Terrace,142489
209,Pasadena,142250
210,Orange,140992
211,Fullerton,140847
212,Killeen,140806
213,Dayton,140599
214,McAllen,140269
215,Bellevue,139820
216,Metairie,138481
217,Miramar,137132
218,Hampton,136454
219,Van Nuys,136443
220,West Valley City,136208
221,Olathe,134305
222,Warren,134056
223,Columbia,133803
224,Thornton,133451
225,Carrollton,133168
226,Midland,132950
227,Charleston,132609
228,Waco,132356
229,Sterling Heights,132052
230,Denton,131044
231,Cedar Rapids,130405
232,New Haven,130322
233,Roseville,130269
234,Gainesville,130128
235,Visalia,130104
236,Coral Springs,129485
237,Thousand Oaks,129339
238,Elizabeth,129007
239,Stamford,128874
240,Concord,128667
241,Surprise,128422
242,Alhambra,127764
243,Lafayette,127657
244,Topeka,127265
245,Kent,126952
246,Simi Valley,126788
247,East Los Angeles,126496
248,Santa Clara,126215
249,Murfreesboro,126118
250,Sunset Park,126000
251,Koreatown,124281
252,Hartford,124006
253,Sheepshead Bay,122534
254,Amherst,122366
255,Victorville,122225
256,Abilene,121721
257,Vallejo,121253
258,North Stamford,121230
259,Berkeley,120972
260,Norman,120284
261,Allentown,120207
262,Evansville,119943
263,Columbia,119108
264,Odessa,118968
265,Fargo,118523
266,Beaumont,118129
267,Independence,117255
268,Ann Arbor,117070
269,El Monte,116732
270,Athens,116714
271,Springfield,116565
272,Harlem,116345
273,Round Rock,115997
274,Wilmington,115933
275,East Harlem,115921
276,Arvada,115368
277,Provo,115264
278,Peoria,115070
279,Lansing,115056
280,Downey,114219
281,Carlsbad,113453
282,Elmhurst,113364
283,Costa Mesa,113204
284,Miami Gardens,113187
285,Westminster,113130
286,North Peoria,113004
287,Clearwater,113003
288,Fairfield,112970
289,Bushwick,112620
290,Gravesend,112229
291,Rochester,112225
292,Elgin,112111
293,Temecula,112011
294,West Jordan,111946
295,Inglewood,111666
296,Richardson,110815
297,Lowell,110699
298,East Independence,110675
299,Gresham,110553
300,Antioch,110542
301,Cambridge,110402
302,High Point,110268
303,Billings,110263
304,Manchester,110229
305,Murrieta,109830
306,Centennial,109741
307,Richmond,109708
308,Corona,109698
309,Pueblo,109412
310,Pearland,108821
311,Waterbury,108802
312,West Covina,108484
313,Enterprise,108481
314,North Charleston,108304
315,Everett,108010
316,College Station,107889
317,Palm Bay,107888
318,Pompano Beach,107762
319,Boulder,107349
320,Norwalk,107140
321,West Palm Beach,106779
322,Broken Arrow,106563
323,Daly City,106562
324,Sandy Springs,105330
325,Burbank,105319
326,Green Bay,105207
327,Santa Maria,105093
328,Universal City,105000
329,Wichita Falls,104710
330,Lakeland,104401
331,Clovis,104180
332,Lewisville,104039
333,Tyler,103700
334,El Cajon,103679
335,San Mateo,103536
336,Brandon,103483
337,Rialto,103132
338,Davenport,102582
339,Edison,102548
340,Hillsboro,102347
341,Las Cruces,101643
342,South Bend,101516
343,Vista,100890
344,Greeley,100883
345,Davie,100882
346,Chinatown,100574
347,San Angelo,100450
348,Renton,100242
349,Roanoke,99897
350,Kenosha,99858
351,Clinton Township,99753
352,Columbia,99615
353,Erie,99475
354,Portsmouth Heights,99049
355,Richmond Hill,98984
356,Alief,98725
357,Spring Hill,98621
358,Albany,98469
359,Compton,98462
360,Tuscaloosa,98332
361,League City,98312
362,Flint,98310
363,Allen,98143
364,Mission Viejo,97156
365,Vacaville,96803
366,Ventura,96769
367,Highlands Ranch,96713
368,Lawton,96655
369,Beaverton,96577
370,South Gate,96401
371,Portsmouth,96201
372,Sparks,96094
373,Brockton,95314
374,Federal Way,95171
375,Dearborn,95171
376,Lee's Summit,95094
377,New Bedford,94958
378,Spokane Valley,94919
379,Fordham,94678
380,Livonia,94635
381,Roswell,94501
382,Orem,94457
383,Yuma,94139
384,Lawrence,93917
385,The Woodlands,93847
386,West Albany,93794
387,Yakima,93701
388,Quincy,93618
389,Flatbush,93361
390,Hesperia,93295
391,Carson,93281
392,Boca Raton,93235
393,Santa Monica,93220
394,San Marcos,92931
395,Boyle Heights,92785
396,Plantation,92560
397,Lynn,92457
398,Miami Beach,92312
399,Arden-Arcade,92186
400,Westminster,92114
401,Longmont,92088
402,Santa Barbara,91842
403,Redding,91582
404,Macon,91351
405,Meridian,90739
406,San Leandro,90712
407,Greenville,90597
408,Chico,90316
409,Edmond,90092
410,Chinatown,90000
411,Nampa,89839
412,Sandy Hills,89575
413,Newton,88817
414,Toms River,88791
415,Fall River,88777
416,Carmel,88713
417,Asheville,88512
418,Norwalk,88485
419,Waukegan,88475
420,Deltona,88474
421,Hawthorne,88451
422,Fort Smith,88194
423,Suffolk,88161
424,Sugar Land,88156
425,Livermore,88126
426,Nashua,87970
427,Reading,87879
428,Concord,87696
429,Indio,87533
430,Rio Rancho,87521
431,Enchanted Hills,87521
432,Sandy,87461
433,Whittier,87438
434,Canarsie,87366
435,Kirkland,87281
436,Menifee,87174
437,Newport Beach,87127
438,Tracy,87075
439,Citrus Heights,87056
440,Bend,87014
441,Canton,86825
442,Lehigh Acres,86784
443,Greenburgh,86764
444,Bloomington,86435
445,West Town,86429
446,Germantown,86395
447,Clifton,86334
448,Duluth,86110
449,Champaign,86096
450,Near North Side,85711
451,Chino,85595
452,Alhambra,85551
453,Ogden,85444
454,Redwood City,85288
455,Bellingham,85146
456,O'Fallon,85040
457,Hoover,84848
458,Danbury,84657
459,East Norwalk,84530
460,Edinburg,84497
461,Sunrise,84439
462,Trenton,84225
463,Santa Fe,84099
464,Bloomington,84067
465,Cicero,83886
466,Hemet,83861
467,Ahwatukee Foothills,83464
468,Johns Creek,83335
469,Mission,83298
470,Troy,83280
471,Buena Park,83270
472,Palm Coast,82893
473,Fayetteville,82830
474,Sioux City,82821
475,Lake Forest,82492
476,Merced,82436
