,Rank,Name,State,2020 Pop,2010 Census,Change,Density (km²),Area (km²)
0,1,New York City,New York,8323340,8190360,1.62%,10699,778
1,2,Los Angeles,California,4015940,3795370,5.81%,3306,1215
2,3,Chicago,Illinois,2694240,2697530,-0.12%,4575,589
3,4,Houston,Texas,2340890,2098450,11.55%,1412,1658
4,5,Phoenix,Arizona,1703080,1449300,17.51%,1270,1341
5,6,Philadelphia,Pennsylvania,1591800,1528290,4.16%,4577,348
6,7,San Antonio,Texas,1578030,1332880,18.39%,1256,1256
7,8,San Diego,California,1447100,1305970,10.81%,1715,844
8,9,Dallas,Texas,1382270,1200370,15.15%,1571,880
9,10,San Jose,California,1033670,954492,8.30%,2245,461
10,11,Austin,Texas,988218,806423,22.54%,1193,829
11,12,Fort Worth,Texas,932116,748481,24.53%,1041,895
12,13,Jacksonville,Florida,926371,823123,12.54%,479,1936
13,14,Columbus,Ohio,922223,790935,16.60%,1624,568
14,15,Charlotte,North Carolina,905318,738534,22.58%,1138,796
15,16,San Francisco,California,896047,805550,11.23%,7376,121
16,17,Indianapolis,Indiana,875929,821555,6.62%,935,936
17,18,Seattle,Washington,783137,610639,28.25%,3606,217
18,19,Denver,Colorado,734134,603354,21.68%,1849,397
19,20,Washington,District of Columbia,720687,605085,19.11%,4552,158
20,21,Boston,Massachusetts,710195,621074,14.35%,5673,125
21,22,El Paso,Texas,685575,650708,5.36%,1028,667
22,23,Nashville,Tennessee,673167,604587,11.34%,547,1232
23,24,Detroit,Michigan,667272,711120,-6.17%,1857,359
24,25,Portland,Oregon,664103,585436,13.44%,1922,346
25,26,Las Vegas,Nevada,662000,584606,13.24%,1803,367
26,27,Oklahoma City,Oklahoma,655407,582285,12.56%,417,1571
27,28,Memphis,Tennessee,647374,652309,-0.76%,788,822
28,29,Louisville,Kentucky,624890,596155,4.82%,916,682
29,30,Baltimore,Maryland,590479,621005,-4.92%,2816,210
30,31,Milwaukee,Wisconsin,585589,594881,-1.56%,2351,249
31,32,Albuquerque,New Mexico,561188,546806,2.63%,1157,485
32,33,Tucson,Arizona,553871,527167,5.07%,898,616
